area_id,map_level,map_name,map_id,map_source
ken_2_217,2,,iGFdm333PJ2,DHIS2
ken_2_218,2,,hCvlJNjyZna,DHIS2
ken_2_219,2,,RIBiZFJxB1K,DHIS2
ken_2_220,2,,jtBjNpL9FXS,DHIS2
ken_2_221,2,,THm2tCJa2ZQ,DHIS2
ken_2_222,2,,lQkHbTC1iRg,DHIS2
ken_2_223,2,,QwGkDS0DNls,DHIS2
ken_2_224,2,,yXwsnpFBIPW,DHIS2
ken_2_225,2,,W6Err8cQf5J,DHIS2
ken_2_226,2,,gD4xxgDGJ4Y,DHIS2
ken_2_227,2,,ouA247cg58A,DHIS2
ken_2_228,2,,AphsS3lJwKU,DHIS2
ken_2_229,2,,pJDgmrxMQTn,DHIS2
ken_2_230,2,,f4AOiG8fYtn,DHIS2
ken_2_231,2,,EESGLsSLTqH,DHIS2
ken_2_232,2,,tvkI2HSIRW9,DHIS2
ken_2_233,2,,wUNEDOnx9uB,DHIS2
ken_2_234,2,,jxjGWCdfsib,DHIS2
ken_2_235,2,,urtJSF5jcBC,DHIS2
ken_2_236,2,,Njv37QXxNy2,DHIS2
ken_2_237,2,,hpcb7MYi6nc,DHIS2
ken_2_238,2,,fT37q3rXQ35,DHIS2
ken_2_239,2,,yZJJPoSGhY6,DHIS2
ken_2_240,2,,pzZHpL2ueIn,DHIS2
ken_2_241,2,,aCwUX5V42Zz,DHIS2
ken_2_242,2,,kMSLkN4nsRl,DHIS2
ken_2_243,2,,ylWg6VvADJE,DHIS2
ken_2_244,2,,KTayLusaU5I,DHIS2
ken_2_245,2,,y2M16lesMsF,DHIS2
ken_2_246,2,,CUjthlounWV,DHIS2
ken_2_247,2,,tSKDWoVKiPo,DHIS2
ken_2_248,2,,XcRpb1xsM64,DHIS2
ken_2_249,2,,aDp1odOWYC1,DHIS2
ken_2_250,2,,eYBXetGx8xF,DHIS2
ken_2_251,2,,AvnM6jKoocs,DHIS2
ken_2_252,2,,j7GpbairCOi,DHIS2
ken_2_253,2,,FBJ9Y11esHS,DHIS2
ken_2_254,2,,Cc8uEFkzfVf,DHIS2
ken_2_255,2,,fNROL0qm8De,DHIS2
ken_2_256,2,,gZM3NbHaugk,DHIS2
ken_2_257,2,,LOgbecTRkbp,DHIS2
ken_2_258,2,,WILszL634oZ,DHIS2
ken_2_259,2,,bnYzgzYe2Z7,DHIS2
ken_2_260,2,,OK0hW8DFHq3,DHIS2
ken_2_261,2,,nwh9bXKykiS,DHIS2
ken_2_262,2,,gwYTo0wITYX,DHIS2
ken_2_263,2,,NhsAMiaS0TD,DHIS2
ken_2_264,2,,uyeif4CPqHt,DHIS2
ken_2_265,2,,mCGytMcMf6y,DHIS2
ken_2_266,2,,f1T0Ltob8VQ,DHIS2
ken_2_267,2,,NrGORu301bx,DHIS2
ken_2_268,2,,KlVgeHmvG6n,DHIS2
ken_2_269,2,,Mk4bMOSMRTB,DHIS2
ken_2_270,2,,AM36DdkZ36Y,DHIS2
ken_2_271,2,,iK2Jk2AxhlD,DHIS2
ken_2_272,2,,aqYhbqKclsI,DHIS2
ken_2_273,2,,TPRNJqSm4lK,DHIS2
ken_2_274,2,,SSz1iOv28Jk,DHIS2
ken_2_275,2,,RAnL5kBKMIt,DHIS2
ken_2_276,2,,Ur2xRBDtazT,DHIS2
ken_2_277,2,,ssbO49f0iLN,DHIS2
