|---------+-------------+-------------+---------------------------------------------|
| area_id |  dhis2_id   | admin_level |                    name                     |
|ben_4_130| q1VebKzdCFe |   admin_4   |Ahodjinnako (Ar)                             |
|ben_4_131| xOpqHvvGSLd |   admin_4   |Odougba                                      |
|ben_4_132| Vjd6fuD7seD |   admin_4   |Ofe                                          |
|ben_4_133| TvH5qPQJA2y |   admin_4   |Bobe                                         |
|ben_4_134| BYMsAleD612 |   admin_4   |Ahogbèya                                     |
|ben_4_135| USczux3OEkw |   admin_4   |Tchatchou                                    |
|ben_4_136| mi32IuV69xZ |   admin_4   |Ahouannonzoun                                |
|ben_4_137| jT4noD59kew |   admin_4   |Oko-Akarè                                    |
|ben_4_138| HCkiQawMeQa |   admin_4   |Okpometa                                     |
|ben_4_139| CLtHuvXE7QR |   admin_4   |Aholouyeme                                   |
|ben_4_140| RHBI8WzM4Qs |   admin_4   |Ahomadegbé                                   |
|ben_4_141| I3VZHG1maVz |   admin_4   |Gbeko                                        |
|ben_4_142| D9mI9Iw8hsj |   admin_4   |Biro (Arr)                                   |
|ben_4_143| xxYncK7kNZi |   admin_4   |Ahomey-Lokpo                                 |
|ben_4_144| l3ZZzBxrweP |   admin_4   |Birni-Lafia                                  |
|ben_4_145| G9nbtX1xQJM |   admin_4   |Okpara                                       |
|ben_4_146| d2qTXNsRbea |   admin_4   |Gbakpodji                                    |
|ben_4_147| uYFnga5Jm91 |   admin_4   |Firou                                        |
|ben_4_148| dKnkVddpCtx |   admin_4   |Djougou II                                   |
|ben_4_149| R65se2nSGVp |   admin_4   |Sagon                                        |
|ben_4_150| hCw3TpRQhjX |   admin_4   |Djigbe                                       |
|ben_4_151| FEsgb06oAbK |   admin_4   |Tokpa-Avagoudo                               |
|ben_4_152| GB9cYMVsLRP |   admin_4   |Dekin                                        |
|ben_4_153| PI0hwRIaEIm |   admin_4   |Bante (Ar)                                   |
|ben_4_154| t3qH4hLUPFJ |   admin_4   |Tokpa Dome                                   |
|ben_4_155| GTj9V7Zq2Aj |   admin_4   |Deme                                         |
|ben_4_156| OOthUPdnhmx |   admin_4   |Ekpe                                         |
|ben_4_157| YupB3p8xNfA |   admin_4   |Sanson                                       |
|ben_4_158| sn5v4i8cnnY |   admin_4   |Alédjo                                       |
|ben_4_159| qzYeuui6rbG |   admin_4   |Tabota                                       |
|ben_4_160| NN67TYSPNoI |   admin_4   |Derassi                                      |
|ben_4_161| eNLMHDy6R5P |   admin_4   |Detohou                                      |
|ben_4_162| L8k65U2GU2d |   admin_4   |Dipoli                                       |
|ben_4_163| njhocjLop2H |   admin_4   |Avakpa                                       |
