"area_id","dhis2_id","pepfar_id","map_level","map_name"
"NGA_3_229",,"OcjOTIIz6PZ",2,"ak Obot Akara"
"NGA_3_230",,"yNiTlEQJJOr",2,"ak Okobo"
"NGA_3_231",,"qEnUjTAp97f",2,"ak Onna"
"NGA_3_232",,"Aa1whDXzJ2c",2,"ak Oron"
"NGA_3_233",,"R3xzKk95P1a",2,"ak Oruk Anam"
"NGA_3_234",,"iyBox8IdIwz",2,"ak Udung Uko"
"NGA_3_235",,"VrBYQf8rbPc",2,"ak Ukanafun"
"NGA_3_236",,"fxkXzAmjGtQ",2,"ak Uruan"
"NGA_3_237",,"HqzA0kbnPTT",2,"ak Urue-Offong-Oruko"
"NGA_3_238",,"HzF1QcC3jfm",2,"ak Uyo"
"NGA_3_239",,"e340iNYBFKT",2,"by Brass"
"NGA_3_240",,"WzDT4si39yH",2,"by Ekeremor"
"NGA_3_241",,"NncixRTUNA8",2,"by Kolokuma-Opokuma"
"NGA_3_242",,"h5mI0PnkLy2",2,"by Nembe"
"NGA_3_243",,"UPDz1QKEaPi",2,"by Ogbia"
"NGA_3_244",,"a7N7uRgXtvy",2,"by Sagbama"
"NGA_3_245",,"XrKyi1pvgsU",2,"by Southern IJaw"
"NGA_3_246",,"zr3XYkgbfIc",2,"by Yenagoa"
"NGA_3_247",,"e7J1RT47WsJ",2,"cr Abi"
"NGA_3_248",,"NIaJ9yoGyDs",2,"cr Akamkpa"
"NGA_3_249",,"R40riAkajr9",2,"cr Akpabuyo"
"NGA_3_250",,"XZLfq0naEiG",2,"cr Bakassi"
"NGA_3_251",,"uUHJXESBL6v",2,"cr Bekwarra"
"NGA_3_252",,"proG1Con5sh",2,"cr Biase"
"NGA_3_253",,"virmrpkYGXf",2,"cr Boki"
"NGA_3_254",,"KmN1vtO0Xv3",2,"cr Calabar Municipal"
"NGA_3_255",,"CXhkcOKexa8",2,"cr Calabar South"
"NGA_3_256",,"HySQRcghuzV",2,"cr Etung"
"NGA_3_257",,"GIXuVsi53km",2,"cr Ikom"
"NGA_3_258",,"dhr29sgXCMz",2,"cr Obanliku"
"NGA_3_259",,"QYalSmXneXl",2,"cr Obubra"
"NGA_3_260",,"Z9MZT1BTsJ5",2,"cr Obudu"
"NGA_3_261",,"gsS9Cpuu01y",2,"cr Odukpani"
"NGA_3_262",,"pQ5yVgpTBiz",2,"cr Ogoja"
"NGA_3_263",,"ErgzW0NbtKg",2,"cr Yakuur"
"NGA_3_264",,"rtUy9A3YHEU",2,"cr Yala"
"NGA_3_265",,"sOvdseHOfPM",2,"de Aniocha North"
"NGA_3_266",,"jjdlSy7XvmM",2,"de Aniocha South"
"NGA_3_267",,"vIWJt7NIoFp",2,"de Bomadi"
"NGA_3_268",,"AMSQzhoDGn0",2,"de Burutu"
"NGA_3_269",,"rGJKS4OLyqd",2,"de Ethiope East"
"NGA_3_270",,"ozapfg9XcmM",2,"de Ethiope West"
"NGA_3_271",,"fSlbRfrxgBX",2,"de Ika North East"
"NGA_3_272",,"Q7RlCFBv0PT",2,"de Ika South"
"NGA_3_273",,"RXyzOWGy8sf",2,"de Isoko North"
"NGA_3_274",,"X8NUW1sxr3s",2,"de Isoko South"
"NGA_3_275",,"nzvY9GKkpym",2,"de Ndokwa East"
"NGA_3_276",,"ip6npch0teY",2,"de Ndokwa West"
"NGA_3_277",,"TF6DZGTsVO2",2,"de Okpe"
"NGA_3_278",,"qUFyVUUSqUb",2,"de Oshimili North"
"NGA_3_279",,"pA7KmJWZWi5",2,"de Oshimili South"
"NGA_3_280",,"G1wJbuwm1Pj",2,"de Patani"
"NGA_3_281",,"c8wRDtzO14l",2,"de Sapele"
"NGA_3_282",,"KEKFFPFTneN",2,"de Udu"
"NGA_3_283",,"XYbM1RspaLs",2,"de Ughelli North"
"NGA_3_284",,"EQLuOekanSM",2,"de Ughelli South"
"NGA_3_285",,"h1vcs9cuaTf",2,"de Ukwuani"
"NGA_3_286",,"yyaZXER8YfR",2,"de Uvwie"
"NGA_3_287",,"zKZKB0aNzsZ",2,"de Warri North"
"NGA_3_288",,"MNVESOkGZ0T",2,"de Warri South"
"NGA_3_289",,"F2sisT8xwGl",2,"de Warri South-West"
"NGA_3_290",,"pQHIzaJsi8t",2,"ed Akoko Edo"
"NGA_3_291",,"NYHYee8uWfQ",2,"ed Egor"
"NGA_3_292",,"lMKXLq9dXVW",2,"ed Esan Central"
"NGA_3_293",,"a661mTq8jD4",2,"ed Esan North-East"
"NGA_3_294",,"MgiGNCxuQsJ",2,"ed Esan South-East"
"NGA_3_295",,"vB0zMLI52Y0",2,"ed Esan West"
"NGA_3_296",,"p3BuvMLV3IA",2,"ed Etsako Central"
